12:18:45,836 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
12:18:46,084 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:04:39,519 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:04:39,700 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:06:22,147 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:06:22,309 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:13:39,858 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:13:39,997 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:16:43,424 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:16:43,559 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:18:06,723 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:18:06,884 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:21:13,800 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:21:13,937 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:39:34,139 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:39:34,357 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:42:43,361 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:42:43,564 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:44:56,646 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:44:56,809 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:47:56,098 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:47:56,304 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:51:23,387 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:51:23,598 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
15:52:43,390 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
15:52:43,603 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:01:21,143 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:01:21,276 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:02:41,959 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:02:42,096 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:03:55,932 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:03:56,079 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:04:44,131 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:04:44,266 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:06:58,024 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:06:58,161 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:08:11,646 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:08:11,806 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
16:33:10,349 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
16:33:10,497 INFO [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.ClickOnElement - Clicking on Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:
17:43:20,917 FATAL [Sample tests logger] Squirrel.Automation.Extensions.WindowExtensions.WaitTillUIItemEnabled - UIItem : Hyperlink. AutomationId:, Name:Daily Setup, ControlType:hyperlink, FrameworkId:Not visible after waiting for 3000 secondsObject reference not set to an instance of an object.
